SMILES,ExcitationEnergy,OscillatorStrength,score
C1#CCn2cccc2C=CC=C1,3.5023589820067085,1.6040751943826674,5.618047164860292
CC=CC=Cc1ccc(C)n1CC,3.50877065372467,1.5970922006607051,5.603830244970834
Cn1cc(N)cc1C=CC=CC=N,3.500814731893085,1.4384361451438494,5.035698447807087
C1=CCn2cccc2C=C1,3.53388145647049,1.405534868482749,4.966993608153875
C=CC=Cc1cccn1C=N,3.5336560419287,1.345581504750252,4.7548222141682395
C=CC=Cc1cccn1C,3.517228329229355,1.3457335047602654,4.7332520065359125
C=C=CC=Cc1cc2ccn1c2,3.5403059933980305,1.3299198389132818,4.708323176443635
[B]NC(C=CC=Cc1cc(F)c[nH]1)NN,3.621829197704225,1.2917668209605746,4.678558788780575
Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,4.07879674539566,1.0939895906618662,4.462161181888351
OCC=CC=Cc1cc2ccn1c2O,3.626396802632014,1.2293779184398197,4.458212152656563
C=CC=Cc1cccn1CCCCCCCCC,3.614696006186803,1.2021523121237756,4.345415161462043
N=Cc1cc(N)c2n1CC=CC=C2,4.09053028730665,1.05965117309207,4.3345352175131335
OB(O)n1c2ccc1cc2,5.421712685818986,0.79332865375621,4.301200026093742
Cc1c2ccn1cc2,5.66079007320404,0.719918190942208,4.075305748804661
N=c1cnc2cc(C=C3C=CC=N3)n1c2,3.614144718260992,1.1161101306756338,4.033783533778927
C#Cn1cccc1C=C1C=CC=N1,3.6536750513599032,1.1023563923756283,4.027652048529942
C=Cn1c(C)ccc1C=C1C=CC=N1,3.687925102869669,1.086136926647027,4.005591636935284
Cn1cccc1C=C1C=CC(N=N)=[N+]1B(F)F,3.6923570557480767,1.084565195886294,4.004601953449553
C=Cn1cccc1C=C1C=CC=N1,3.6861771027247103,1.086136926647027,4.003693069430059
C=C(C)n1cccc1C=C1C=CC(N)=[N+]1B(F)F,3.717126440620422,1.076308529206117,4.0007748921773345
C=Cn1cccc1C=C1C=CC=[N+]1B(F)F,3.692309101835886,1.0773963938275974,3.9780805112147988
On1cccc1C=C1C=CC=N1,3.679430651844115,1.08057692801555,3.9759078706159663
C1=CC(=Cc2ccc[n-]2)N=C1,3.6417980509485512,1.089468927081426,3.9676258152141464
Cn1cccc1C=C1C=CC=N1,3.638108385392597,1.0872689266761144,3.9556021993171804
Cc1cc2ccn1c2C=C1C=CC=N1,3.6311420479502,1.089332926984628,3.9555225953905473
N=Cn1cccc1C=C1C=CC=[N+]1B(F)F,3.647947715366454,1.0835923939863843,3.952888398031097
C=C(C)n1cccc1C=C1C=CC=N1,3.713406438509623,1.0630922603368758,3.9476936442647026
C=NC(C=CC[N+]B(F)F)=Cc1cccn1C,3.626449384110314,1.0868279936949412,3.9413267083688677
Cn1cccc1C=C1C=CC=[N+]1B(F)F,3.648888384267262,1.0784683937946955,3.9352107949168356
C#Cc1c(O)c(OO)n(C)c1C#CC=C,4.767492996454239,0.8247257263462369,3.9318741243513196
ONC1C=CC=CC=Cc2cccn21,3.9288872078736623,0.994800193909804,3.9084577562424676
OC1(O)C=CC=Cc2cccn21,3.717216542847952,1.0495263023833437,3.901316533373407
CCn1cccc1C=C1C=CC=N1,3.657868387528828,1.0642242603659628,3.892792279233904
CC#CC(N)=c1c(=CN(C(C)C)C(C)C)[nH]c2ccn(B(F)F)c12,4.990361075687408,0.7750066814919312,3.8675631767150023
N=C=CC=Cc1cccn1C(=N)C(N)NN,3.58912386010942,1.0774658550329508,3.867158408751961
Cc1cc(O)n2cnc3c(c12)=C(N)CN(C#N)C=3,5.004921242426312,0.7702463465978702,3.8550223019889405
OCn1cccc1C=C1C=CC=[N+]1B(F)F,3.647387719556263,1.0519459542582903,3.8368547551985825
Cn1cccc1C=C1C=CC=[N+]1B(N)F,3.662844384277434,1.0472417275031407,3.8358834805658777
[B][N+]1=CC=CC1=Cc1ccc(O)[nH]1,3.583447309959502,1.0678865273714069,3.826715103851062
Cn1cccc1C=C1C=C(N)C=N1,3.588345147123791,1.0534713282247383,3.780218728269294
Cn1c(O)ccc1C=C1C=CC=[N+]1B(F)F,3.603946045816512,1.0480339942653971,3.777057969514063
Fn1cccc1C=C1C=CC=N1,3.666484915551066,1.0288495939532916,3.772261516600583
Cn1cccc1C=CC=C=CN=NC(N)=NNOO,3.5903567508969987,1.0464661915103592,3.75718695527469
N#Cn1cccc1C=C1C=CC=N1,3.590720052650997,1.0449549275000891,3.7521406122910386
N#Cn1cccc1C=C1C=CC=[N+]1B(F)F,3.6000320539746964,1.0393183946530025,3.741579535036333
CCn1cccc1C=CC=CN,3.5366269999027256,1.0545116508364676,3.7294143760602467
Cc1ccc2n1C(C)C(N)=NC=CC=C2,3.592393480850401,1.03603818898201,3.721856836011029
Cc1ccc2n1CC=NC=CC=C2,3.542060133211953,1.048795251405239,3.7148958479045042
C1=CN=CCn2cccc2C=C1,3.534980133288247,1.048795251405239,3.7074703776045723
CC=C(N)C=Cc1cccn1C,3.6231779969419753,1.019487597322464,3.693785030773992
